SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
user,BUILDER,2 , 42.88 L,1340 ,Nandikandi,Under ConstructionConstruction Status,"3,200 / sq ft"
Riddhi Group,BUILDER,4 , 1.83 Cr,3059 ,Upperpally,Under ConstructionConstruction Status,"6,000 / sq ft"
Swamaan Developers,BUILDER,3 , 95.7 L,1709 ,Narsingi,Ready to moveConstruction Status,"5,600 / sq ft"
Ramireddy Constructions,BUILDER,2 , 96 L,1173 ,Attapur,Under ConstructionConstruction Status,"8,184 / sq ft"
Anuhar Homes Pvt Ltd,BUILDER,3 , 93.25 L,1636 ,Manikonda,Ready to moveConstruction Status,"5,700 / sq ft"
Vessella Group,BUILDER,4 , 7.04 Cr,4259 ,Serilingampally,Under ConstructionConstruction Status,"16,553 / sq ft"
Haripriya Developers,BUILDER,Residential Plot, 1.19 Cr,3150 ,Sheriguda,NewNew/Resale,"3,778 / sq ft"
Risinia Builders,BUILDER,2 , 56.98 L,1295 ,Bachupally,Under ConstructionConstruction Status,"4,400 / sq ft"
Suchirindia Constructions Pvt Ltd,BUILDER,Residential Plot, 54 L,1800 ,Kothur,ResaleNew/Resale,"3,000 / sq ft"
Salarpuria Sattva,BUILDER,2 , 1.43 Cr,1495 ,Shaikpet,Ready to moveConstruction Status,"9,565 / sq ft"
Aakriti Constructions and Developers Pvt Ltd,BUILDER,3 , 65.82 L,1431 ,Tellapur,Under ConstructionConstruction Status,"4,600 / sq ft"
Om Sree Builders And Developers,BUILDER,3 , 1.41 Cr,2615 ,Yapral,Under ConstructionConstruction Status,"5,400 / sq ft"
Vajra Builders And Developers,BUILDER,4 , 1.45 Cr,2300 ,Bachupally,Under ConstructionConstruction Status,"6,304 / sq ft"
Prasad,BUILDER,3 , 96.22 L,1415 ,Nanakramguda,Ready to moveConstruction Status,"6,800 / sq ft"
Vasavi Constructions,BUILDER,2 , 56.02 L,1245 ,Ghatkesar,Under ConstructionConstruction Status,"4,500 / sq ft"
Engineers Associates Pvt Ltd,BUILDER,3 , 63.11 L,1503 ,Mallampet,Under ConstructionConstruction Status,"4,199 / sq ft"
Beams And Columns Builders Private Limited,BUILDER,3 , 85.07 L,1810 ,Kompally,Under ConstructionConstruction Status,"4,700 / sq ft"
user,BUILDER,2 , 42.88 L,1340 ,Nandikandi,Under ConstructionConstruction Status,"3,200 / sq ft"
Riddhi Group,BUILDER,3 , 1.25 Cr,2091 ,Upperpally,Under ConstructionConstruction Status,"6,000 / sq ft"
Swamaan Developers,BUILDER,3 , 96.04 L,1715 ,Narsingi,Ready to moveConstruction Status,"5,600 / sq ft"
Ramireddy Constructions,BUILDER,3 , 1.4 Cr,1777 ,Attapur,Under ConstructionConstruction Status,"7,878 / sq ft"
Anuhar Homes Pvt Ltd,BUILDER,2 , 74.55 L,1308 ,Manikonda,Ready to moveConstruction Status,"5,700 / sq ft"
Vessella Group,BUILDER,4 , 5.73 Cr,3584 ,Serilingampally,Under ConstructionConstruction Status,"16,000 / sq ft"
Haripriya Developers,BUILDER,Residential Plot, 68 L,1800 ,Sheriguda,NewNew/Resale,"3,778 / sq ft"
Risinia Builders,BUILDER,2 , 52.58 L,1195 ,Bachupally,Under ConstructionConstruction Status,"4,400 / sq ft"
Suchirindia Constructions Pvt Ltd,BUILDER,Residential Plot, 54 L,1800 ,Kothur,ResaleNew/Resale,"3,000 / sq ft"
Salarpuria Sattva,BUILDER,4 , 3.04 Cr,2965 ,Shaikpet,Ready to moveConstruction Status,"10,252 / sq ft"
Aakriti Constructions and Developers Pvt Ltd,BUILDER,3 , 66.01 L,1435 ,Tellapur,Under ConstructionConstruction Status,"4,600 / sq ft"
Om Sree Builders And Developers,BUILDER,3 , 1.59 Cr,2950 ,Yapral,Under ConstructionConstruction Status,"5,400 / sq ft"
Prasad,BUILDER,3 , 96.9 L,1425 ,Nanakramguda,Ready to moveConstruction Status,"6,800 / sq ft"
Vasavi Constructions,BUILDER,2 , 56.02 L,1245 ,Ghatkesar,Under ConstructionConstruction Status,"4,500 / sq ft"
Engineers Associates Pvt Ltd,BUILDER,2 , 46.48 L,1107 ,Mallampet,Under ConstructionConstruction Status,"4,199 / sq ft"
Beams And Columns Builders Private Limited,BUILDER,3 , 85.3 L,1815 ,Kompally,Under ConstructionConstruction Status,"4,700 / sq ft"
user,BUILDER,2 , 38.24 L,1195 ,Nandikandi,Under ConstructionConstruction Status,"3,200 / sq ft"
Riddhi Group,BUILDER,3 , 1.25 Cr,2090 ,Upperpally,Under ConstructionConstruction Status,"6,000 / sq ft"
Swamaan Developers,BUILDER,3 , 1.05 Cr,1884 ,Narsingi,Ready to moveConstruction Status,"5,600 / sq ft"
